sid,study_id,org_site_id,lon,lat
082_fraley_s019,082_fraley,non,172.38416666666666,-42.582499999999996
082_fraley_s020,082_fraley,hanm,172.88666666666666,-42.564166666666665
082_fraley_s021,082_fraley,perc,172.80583333333334,-42.5525
082_fraley_s022,082_fraley,boy,172.3625,-42.54
082_fraley_s023,082_fraley,rio,172.40166666666667,-42.450833333333335
082_fraley_s024,082_fraley,lewd,172.39666666666668,-42.40416666666667
082_fraley_s025,082_fraley,lewp,172.3975,-42.38666666666666
083_maitland_s001,083_maitland,lr01,-105.8825,40.788333333333334
083_maitland_s002,083_maitland,lr02,-106.0375,41.030833333333334
083_maitland_s003,083_maitland,lr03,-105.98083333333334,41.138333333333335
083_maitland_s004,083_maitland,lr04,-105.7225,41.22666666666667
083_maitland_s005,083_maitland,lr05,-105.60583333333334,41.31
083_maitland_s006,083_maitland,mb01,-106.37083333333334,41.515
083_maitland_s007,083_maitland,mb02,-106.41666666666667,41.60583333333334
083_maitland_s008,083_maitland,mb03,-106.31833333333333,41.725
083_maitland_s013,083_maitland,sw02,-108.88,42.373333333333335
083_maitland_s015,083_maitland,sw01,-109.0625,42.56583333333333
083_maitland_s016,083_maitland,sw03,-107.96583333333334,42.571666666666665
089_dekar_s001,089_dekar,mouth,-93.66333333333333,35.67333333333333
089_dekar_s002,089_dekar,mainstem,-93.63416666666667,35.674166666666665
089_dekar_s003,089_dekar,upstream,-93.59416666666667,35.76083333333334
091_doi_s001,091_doi,honzawa,140.85,38.25
098_hoeinghaus_s002,098_hoeinghaus,iguatemi,-55.01833333333333,-23.860833333333332
099_huang_s001,099_huang,hapen_creek,121.58416666666666,24.754166666666666
101_jepsen_s004,101_jepsen,aguaro,-66.34083333333334,8.345
102_kato_s001,102_kato,riparian,141.59666666666666,42.67666666666667
105_lau_s001,105_lau,shing_mun,114.1475,22.398333333333333
105_lau_s002,105_lau,tai_po_kau_forest,114.17916666666667,22.4225
105_lau_s003,105_lau,pak_ngau_shek,114.12333333333333,22.44
108_mercado-silva_s003,108_mercado-silva,site6,-100.81333333333333,21.011666666666667
108_mercado-silva_s004,108_mercado-silva,site5,-100.81333333333333,21.046666666666667
108_mercado-silva_s005,108_mercado-silva,site4,-100.83166666666666,21.105833333333333
108_mercado-silva_s006,108_mercado-silva,site3,-100.98416666666667,21.267500000000002
110_reid_s001,110_reid,joyces_creek,143.96166666666667,-37.13
116_takamura_s001,116_takamura,kinu_site1,139.9125,36.315
116_takamura_s002,116_takamura,kinu_site2,139.93166666666667,36.39083333333333
116_takamura_s003,116_takamura,kinu_site3,139.9575,36.49666666666667
116_takamura_s004,116_takamura,kinu_site4,139.96916666666667,36.56916666666667
116_takamura_s005,116_takamura,naka_site1,140.2275,36.57
116_takamura_s006,116_takamura,naka_site2,140.15833333333333,36.63
116_takamura_s007,116_takamura,kinu_site5,139.95083333333332,36.666666666666664
116_takamura_s008,116_takamura,naka_site3,140.15333333333334,36.68666666666667
116_takamura_s009,116_takamura,kinu_site6,139.875,36.7275
116_takamura_s010,116_takamura,naka_site4,140.13833333333332,36.76416666666667
116_takamura_s011,116_takamura,naka_site5,140.13,36.806666666666665
116_takamura_s012,116_takamura,naka_site6,140.11833333333334,36.869166666666665
117_ulseth_s001,117_ulseth,hamilton,-79.85916666666667,36.08083333333333
117_ulseth_s002,117_ulseth,latham,-79.79833333333333,36.08416666666667
117_ulseth_s003,117_ulseth,fairview,-79.77333333333334,36.10166666666667
117_ulseth_s004,117_ulseth,summit,-79.765,36.105000000000004
117_ulseth_s005,117_ulseth,rankin_mill,-79.70833333333333,36.12
121_winemiller_s002,121_winemiller,lower_bladen,-88.58416666666666,16.4175
121_winemiller_s003,121_winemiller,lower_swasey,-88.54416666666667,16.4175
121_winemiller_s004,121_winemiller,upper_bladen,-88.70833333333333,16.553333333333335
121_winemiller_s005,121_winemiller,firetail_creek,-88.72416666666666,16.569166666666668
121_winemiller_s006,121_winemiller,upper_swasey,-88.62583333333333,16.683333333333334
